off	mom	dad	type
MR10J_04_15_015	MR09A_1154	MR09A_1113	both
MR10J_04_15_016	MR09A_0552	MR09A_0808	both
MR10J_04_15_019	MR09A_0616	MR09A_1055	both
MR10J_04_15_020	MR09A_0765	MR09A_1188	both
MR10J_04_15_021	MR09A_0551	MR09A_1128	both
MR10J_04_15_023	MR09A_0765	MR09A_1188	both
MR10J_04_15_024	MR09A_0519	MR09A_1330	both
MR10J_04_15_025	MR09A_0151	MR09A_0059	both
MR10J_04_15_026	MR09A_0683	MR09A_0141	both
MR10J_04_15_027	MR09A_0050	MR09A_0793	both
MR10J_04_17_001	MR09A_1193	MR09A_0874	both
MR10J_04_17_005	MR09A_0004	MR09A_0323	both
MR10J_04_17_032	MR09A_1261	MR09A_1222	both
MR10J_04_19_001	MR09A_0122	MR09A_0435	both
MR10J_04_19_002	MR09A_0639	MR09A_1030	both
MR10J_04_19_003	MR09A_0004	MR09A_0323	both
MR10J_04_19_004	MR09A_0363	MR09A_0178	both
MR10J_04_19_005	MR09A_0276	MR09A_0141	both
MR10J_04_19_006	MR09A_0726	MR09A_1066	both
MR10J_04_19_009	MR09A_0205	MR09A_0412	both
MR10J_04_19_010	MR09A_0560	MR09A_0897	both
MR10J_04_19_011	MR09A_0645	MR09A_1112	both
MR10J_04_19_012	MR09A_0196	MR09A_1227	both
MR10J_04_19_014	MR09A_0369	MR09A_0370	both
MR10J_04_19_015	MR09A_0207	MR09A_0091	both
MR10J_04_19_016	MR09A_0127	MR09A_1128	both
MR10J_04_19_017	MR09A_0415	MR09A_0299	both
MR10J_04_19_019	MR09A_1310	MR09A_1138	both
MR10J_04_19_020	MR09A_0312	MR09A_0905	both
MR10J_04_19_021	MR09A_0552	MR09A_0808	both
MR10J_04_19_022	MR09A_0312	MR09A_0905	both
MR10J_04_19_023	MR09A_0004	MR09A_0323	both
MR10J_04_19_024	MR09A_0639	MR09A_1185	both
MR10J_04_19_025	MR09A_0933	MR09A_1330	both
MR10J_04_19_026	MR09A_0560	MR09A_0897	both
MR10J_04_19_027	MR09A_0207	MR09A_0368	both
MR10J_04_19_029	MR09A_0552	MR09A_0808	both
MR10J_04_19_030	MR09A_1149	MR09A_0936	both
MR10J_04_19_032	MR09A_0312	MR09A_0905	both
MR10J_04_19_033	MR09A_0415	MR09A_0370	both
MR10J_04_19_035	MR09A_1269	MR09A_0052	both
MR10J_04_19_037	MR09A_1282	MR09A_0232	both
MR10J_04_19_039	MR09A_0035	MR09A_1188	both
MR10J_04_19_040	MR09A_0211	MR09A_1330	both
MR10J_04_19_041	MR09A_0843	MR09A_0317	both
MR10J_04_19_042	MR09A_0729	MR09A_1157	both
MR10J_04_19_043	MR09A_0149	MR09A_1246	both
MR10J_04_19_044	MR09A_0194	MR09A_1257	both
MR10J_04_19_045	MR09A_0288	MR09A_0431	both
MR10J_04_19_047	MR09A_0664	MR09A_0615	both
MR10J_04_19_048	MR09A_0194	MR09A_1302	both
MR10J_04_19_049	MR09A_0149	MR09A_0448	both
MR10J_04_19_050	MR09A_1282	MR09A_0232	both
MR10J_04_20_001	MR09A_0552	MR09A_0808	both
MR10J_04_20_002	MR09A_0369	MR09A_0987	both
MR10J_04_20_003	MR09A_0050	MR09A_0793	both
MR10J_04_20_004	MR09A_0146	MR09A_0431	both
MR10J_04_20_005	MR09A_0729	MR09A_1157	both
MR10J_04_20_006	MR09A_0049	MR09A_0955	both
MR10J_04_20_007	MR09A_0729	MR09A_1157	both
MR10J_04_20_008	MR09A_0146	MR09A_0431	both
MR10J_04_20_009	MR09A_0709	MR09A_0178	both
MR10J_04_20_010	MR09A_0067	MR09A_0973	both
MR10J_04_20_011	MR09A_0552	MR09A_1043	both
MR10J_04_20_012	MR09A_0668	MR09A_1236	both
MR10J_04_20_013	MR09A_0122	MR09A_0435	both
MR10J_04_20_015	MR09A_0415	MR09A_0370	both
MR10J_04_20_016	MR09A_0049	MR09A_0955	both
MR10J_04_20_017	MR09A_0312	MR09A_0987	both
MR10J_04_20_018	MR09A_0519	MR09A_1330	both
MR10J_04_20_019	MR09A_0147	MR09A_0431	both
MR10J_04_20_021	MR09A_0558	MR09A_1061	both
MR10J_04_20_022	MR09A_0211	MR09A_1330	both
MR10J_04_20_023	MR09A_1028	MR09A_1062	both
MR10J_04_20_024	MR09A_0842	MR09A_0323	both
MR10J_04_21_001	MR09A_0146	MR09A_0431	both
MR10J_04_21_002	MR09A_0606	MR09A_0462	both
MR10J_04_21_003	MR09A_0004	MR09A_0323	both
MR10J_04_21_004	MR09A_0576	MR09A_0081	both
MR10J_04_21_005	MR09A_0004	MR09A_1330	both
MR10J_04_21_006	MR09A_0514	MR09A_1202	both
MR10J_04_21_007	MR09A_0458	MR09A_0091	both
MR10J_04_21_008	MR09A_0523	MR09A_0019	both
MR10J_04_21_009	MR09A_0546	MR09A_0370	both
MR10J_04_21_011	MR09A_0889	MR09A_1128	both
MR10J_04_21_012	MR09A_0523	MR09A_0019	both
MR10J_04_21_014	MR09A_0146	MR09A_0431	both
MR10J_04_21_015	MR09A_0146	MR09A_0431	both
MR10J_04_21_016	MR09A_0576	MR09A_1165	both
MR10J_04_21_017	MR09A_0165	MR09A_1106	both
MR10J_04_21_020	MR09A_0211	MR09A_1330	both
MR10J_04_21_021	MR09A_0984	MR09A_0948	both
MR10J_04_21_022	MR09A_0122	MR09A_0435	both
MR10J_04_21_023	MR09A_0961	MR09A_1053	both
MR10J_04_21_024	MR09A_0961	MR09A_1062	both
MR10J_04_22_001	MR09A_0122	MR09A_0320	both
MR10J_04_22_003	MR09A_1193	MR09A_0170	both
MR10J_04_22_004	MR09A_0759	MR09A_1027	both
MR10J_04_22_007	MR09A_0035	MR09A_1188	both
MR10J_04_22_008	MR09A_0146	MR09A_0431	both
MR10J_04_22_009	MR09A_0770	MR09A_1128	both
MR10J_04_22_010	MR09A_0093	MR09A_0018	both
MR10J_04_22_012	MR09A_0145	MR09A_1246	both
MR10J_04_22_015	MR09A_0765	MR09A_1188	both
MR10J_04_22_016	MR09A_0523	MR09A_0019	both
MR10J_04_22_017	MR09A_0090	MR09A_1095	both
MR10J_04_22_018	MR09A_0035	MR09A_1188	both
MR10J_04_22_019	MR09A_0400	MR09A_1318	both
MR10J_04_22_020	MR09A_0359	MR09A_0431	both
MR10J_04_22_022	MR09A_0288	MR09A_0431	both
MR10J_04_22_023	MR09A_0146	MR09A_0431	both
MR10J_04_22_026	MR09A_0514	MR09A_0825	both
