n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
100	50	50	1	330771	6674.2	2.33	6540.72	2.28	114	133.484	Before	0	100
97	50	47	0.94	500	10	2.1	10.43	2.19	103	0.213	After	12	100
100	50	50	1	313939	6280.92	4.1	6155.3	4.02	201	125.618	Before	0	1
60	32	28	0.88	50	1.58	1.39	1.75	1.54	43	0.056	After	164	1
100	50	50	1	330620	6597.14	4.16	6465.2	4.08	204	131.943	Before	0	2
64	35	29	0.83	50	1.41	1.18	1.66	1.38	40	0.049	After	167	2
100	50	50	1	313311	6309.2	3.33	6183.02	3.26	163	126.184	Before	0	3
57	30	27	0.9	50	1.66	1.38	1.78	1.48	40	0.061	After	125	3
100	50	50	1	320943	6355.04	1.73	6227.94	1.7	85	127.101	Before	0	4
64	33	31	0.94	50	1.5	1.12	1.55	1.16	36	0.048	After	50	4
100	50	50	1	297705	5972.14	1.82	5852.7	1.78	89	119.443	Before	0	5
56	30	26	0.87	50	1.69	1.03	1.88	1.15	30	0.065	After	61	5
100	50	50	1	325460	6579.86	4.14	6448.26	4.06	203	131.597	Before	0	6
56	27	29	1.07	50	1.88	1.62	1.69	1.45	42	0.065	After	161	6
100	50	50	1	307950	6215.14	4.16	6090.84	4.08	204	124.303	Before	0	7
60	33	27	0.82	50	1.53	1.34	1.81	1.59	43	0.057	After	162	7
100	50	50	1	297118	5985.71	2.35	5866	2.3	115	119.714	Before	0	8
59	31	28	0.9	50	1.63	1.17	1.75	1.25	35	0.058	After	80	8
100	50	50	1	320455	6428.29	2.39	6299.72	2.34	117	128.566	Before	0	9
55	31	24	0.77	50	1.63	1.23	2.04	1.54	37	0.068	After	82	9
100	50	50	1	325530	6520.61	2.51	6390.2	2.46	123	130.412	Before	0	10
53	28	25	0.89	50	1.81	1.19	1.96	1.28	32	0.073	After	94	10
100	50	50	1	302781	6043.59	4.2	5922.72	4.12	206	120.872	Before	0	11
60	29	31	1.07	50	1.68	1.46	1.52	1.32	41	0.054	After	167	11
100	50	50	1	326180	6484.29	3.14	6354.6	3.08	154	129.686	Before	0	12
53	31	22	0.71	50	1.63	1.23	2.23	1.68	37	0.074	After	121	12
100	50	50	1	313166	6217.76	1.65	6093.4	1.62	81	124.355	Before	0	13
57	30	27	0.9	50	1.69	1.21	1.81	1.3	35	0.063	After	48	13
100	50	50	1	330445	6623.37	4.41	6490.9	4.32	216	132.467	Before	0	14
53	24	29	1.21	50	2.13	1.65	1.69	1.31	38	0.073	After	182	14
100	50	50	1	317072	6358.69	3.55	6231.52	3.48	174	127.174	Before	0	15
60	31	29	0.94	50	1.6	1.37	1.66	1.41	41	0.055	After	132	15
100	50	50	1	324819	6504.86	2.49	6374.76	2.44	122	130.097	Before	0	16
54	29	25	0.86	50	1.75	1.18	1.96	1.32	33	0.07	After	91	16
100	50	50	1	315229	6268.8	3.61	6143.42	3.54	177	125.376	Before	0	17
56	30	26	0.87	50	1.66	1.41	1.85	1.58	41	0.064	After	137	17
100	50	50	1	315701	6364.39	1.71	6237.1	1.68	84	127.288	Before	0	18
57	33	24	0.73	50	1.5	1.03	2	1.38	33	0.062	After	53	18
100	50	50	1	302585	6064.9	3.43	5943.6	3.36	168	121.298	Before	0	19
60	32	28	0.88	50	1.58	1.39	1.75	1.54	43	0.056	After	129	19
100	50	50	1	306941	6131.94	1.67	6009.3	1.64	82	122.639	Before	0	20
62	32	30	0.94	50	1.58	1.16	1.63	1.2	36	0.053	After	46	20
100	50	50	1	329649	6672.43	2.31	6538.98	2.26	113	133.449	Before	0	21
60	32	28	0.88	50	1.58	1.29	1.75	1.43	40	0.056	After	75	21
100	50	50	1	307261	6203.78	1.65	6079.7	1.62	81	124.076	Before	0	22
53	29	24	0.83	50	1.75	1.11	2.04	1.29	31	0.073	After	52	22
100	50	50	1	315517	6351.86	3.27	6224.82	3.2	160	127.037	Before	0	23
58	30	28	0.93	50	1.69	1.38	1.75	1.43	40	0.06	After	121	23
100	50	50	1	326714	6516.82	1.78	6386.48	1.74	87	130.336	Before	0	24
55	28	27	0.96	50	1.7	1.15	1.7	1.15	31	0.063	After	58	24
100	50	50	1	321919	6413.45	4.27	6285.18	4.18	209	128.269	Before	0	25
61	30	31	1.03	50	1.69	1.45	1.58	1.35	42	0.055	After	171	25
100	50	50	1	308720	6232.33	2.53	6107.68	2.48	124	124.647	Before	0	26
59	31	28	0.9	50	1.6	1.17	1.71	1.25	35	0.057	After	90	26
100	50	50	1	307416	6149.82	2.33	6026.82	2.28	114	122.996	Before	0	27
