n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	true.npar	true.noff	true.lambda	true.sr	true.sckew	mat
100	50	50	1	383609	7672.18	2131.19	3.22	7	7672.18	4479.11	3.22	7	161	153.444	100	25	4	1	uniform	Original
40	21	19	0.9	25	1.19	0.51	1.1	2	1.32	0.67	1.21	3	23	0.063	100	25	4	1	uniform	Subsampled
100	50	50	1	407158	8143.16	2232.91	2.52	6	8143.16	4739.42	2.52	5	126	162.863	100	25	4	1	uniform	Original
36	17	19	1.12	25	1.47	0.62	1.29	2	1.32	0.48	1.16	2	22	0.077	100	25	4	1	uniform	Subsampled
100	50	50	1	384550	7691	2144.25	1.78	4	7691	5429.63	1.78	4	89	153.82	100	25	4	1	uniform	Original
40	20	20	1	25	1.25	0.44	1.1	2	1.25	0.44	1.1	2	22	0.062	100	25	4	1	uniform	Subsampled
100	50	50	1	379289	7585.78	2138.67	3.42	9	7585.78	4732.95	3.42	7	171	151.716	100	25	4	1	uniform	Original
37	20	17	0.85	25	1.25	0.55	1.1	2	1.47	1.07	1.29	3	22	0.074	100	25	4	1	uniform	Subsampled
100	50	50	1	394238	7884.76	2320.48	1.7	4	7884.76	5207.88	1.7	4	85	157.695	100	25	4	1	uniform	Original
43	24	19	0.79	25	1.04	0.2	1.04	2	1.32	0.48	1.32	2	25	0.055	100	25	4	1	uniform	Subsampled
100	50	50	1	397122	7942.44	2632.99	1.62	4	7942.44	4699.38	1.62	3	81	158.849	100	25	4	1	uniform	Original
40	21	19	0.9	25	1.19	0.4	1.05	2	1.32	0.48	1.16	2	22	0.063	100	25	4	1	uniform	Subsampled
100	50	50	1	406491	8129.82	2244.48	3.44	7	8129.82	4406.72	3.44	6	172	162.596	100	25	4	1	uniform	Original
39	19	20	1.05	25	1.32	0.75	1.16	3	1.25	0.55	1.1	2	22	0.066	100	25	4	1	uniform	Subsampled
100	50	50	1	388213	7764.26	2684.89	1.72	5	7764.26	6601.08	1.72	5	86	155.285	100	25	4	1	uniform	Original
36	19	17	0.89	25	1.32	0.58	1.05	2	1.47	0.72	1.18	2	20	0.077	100	25	4	1	uniform	Subsampled
100	50	50	1	376115	7522.3	2378.96	4.44	8	7522.3	4030.23	4.44	8	222	150.446	100	25	4	1	uniform	Original
36	19	17	0.89	25	1.32	0.58	1.21	3	1.47	0.72	1.35	3	23	0.077	100	25	4	1	uniform	Subsampled
100	50	50	1	386794	7735.88	2223.79	2.36	6	7735.88	4435.38	2.36	5	118	154.718	100	25	4	1	uniform	Original
