n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
22	12	10	0.83	25	2.08	0.9	1.58	4	2.5	1.9	1.9	4	19	0.208	After	30	63	25	25	1	4
25	13	12	0.92	52522	4040.15	1213	2.15	5	4376.83	2825.33	2.33	4	28	336.679	Before	0	64	25	25	1	4
21	11	10	0.91	25	2.27	1.49	1.27	2	2.5	1.78	1.4	2	14	0.227	After	14	64	25	25	1	4
25	13	12	0.92	58538	4502.92	1242.16	1.46	3	4878.17	3523.17	1.58	3	19	375.244	Before	0	65	25	25	1	4
18	10	8	0.8	25	2.5	0.97	1.1	2	3.12	1.46	1.38	2	11	0.312	After	8	65	25	25	1	4
25	13	12	0.92	54660	4204.62	1071.88	4.15	6	4555	1918.4	4.5	7	54	350.385	Before	0	66	25	25	1	4
21	11	10	0.91	25	2.27	1.19	1.73	3	2.5	1.43	1.9	4	19	0.227	After	35	66	25	25	1	4
25	13	12	0.92	57141	4395.46	1012.18	1.85	3	4761.75	3255.34	2	4	24	366.288	Before	0	67	25	25	1	4
20	10	10	1	25	2.5	1.43	1.4	2	2.5	2.07	1.4	3	14	0.25	After	10	67	25	25	1	4
25	13	12	0.92	53808	4139.08	1224.21	3.46	7	4484	1481.88	3.75	6	45	344.923	Before	0	68	25	25	1	4
22	12	10	0.83	25	2.08	0.9	1.67	3	2.5	1.65	2	4	20	0.208	After	25	68	25	25	1	4
25	13	12	0.92	57588	4429.85	1028.71	4.15	6	4799	2527.45	4.5	9	54	369.154	Before	0	69	25	25	1	4
21	11	10	0.91	25	2.27	1.42	1.64	3	2.5	1.27	1.8	3	18	0.227	After	36	69	25	25	1	4
25	13	12	0.92	57257	4404.38	1212.13	2.08	3	4771.42	3071.96	2.25	4	27	367.032	Before	0	70	25	25	1	4
16	8	8	1	25	3.12	1.25	1.5	2	3.12	1.89	1.5	3	12	0.391	After	15	70	25	25	1	4
25	13	12	0.92	70246	5403.54	1033.05	2.08	4	5853.83	5798.69	2.25	5	27	450.295	Before	0	71	25	25	1	4
21	12	9	0.75	25	2.08	1.44	1.17	3	2.78	2.64	1.56	3	14	0.231	After	13	71	25	25	1	4
25	13	12	0.92	57556	4427.38	1228.28	3.77	7	4796.33	3693.15	4.08	10	49	368.949	Before	0	72	25	25	1	4
21	12	9	0.75	25	2.08	0.9	1.58	2	2.78	2.05	2.11	5	19	0.231	After	30	72	25	25	1	4
25	13	12	0.92	63583	4891	1056.74	4.08	7	5298.58	3219.86	4.42	7	53	407.583	Before	0	73	25	25	1	4
20	10	10	1	25	2.5	1.35	1.8	3	2.5	1.84	1.8	4	18	0.25	After	35	73	25	25	1	4
25	13	12	0.92	64924	4994.15	1059.92	1.38	2	5410.33	1857.86	1.5	3	18	416.179	Before	0	74	25	25	1	4
22	11	11	1	25	2.27	1.27	1.18	2	2.27	1.62	1.18	2	13	0.207	After	5	74	25	25	1	4
25	13	12	0.92	55363	4258.69	1287.33	4	8	4613.58	2757.55	4.33	8	52	354.891	Before	0	75	25	25	1	4
20	11	9	0.82	25	2.27	1.27	1.64	4	2.78	1.72	2	4	18	0.253	After	34	75	25	25	1	4
25	13	12	0.92	52163	4012.54	1028.16	2.85	6	4346.92	2817.47	3.08	6	37	334.378	Before	0	76	25	25	1	4
20	12	8	0.67	25	2.08	1.31	1.25	3	3.12	2.1	1.88	5	15	0.26	After	22	76	25	25	1	4
