n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
100	50	50	1	203910	4078.2	1086.09	3.56	6	4078.2	2213.92	3.56	8	178	81.564	Before	0	16	100	100	1	4
81	42	39	0.93	100	2.38	1.25	1.88	4	2.56	1.54	2.03	5	79	0.061	After	99	16	100	100	1	4
100	50	50	1	227336	4546.72	1042.09	4.42	8	4546.72	2131.2	4.42	8	221	90.934	Before	0	17	100	100	1	4
79	39	40	1.03	100	2.56	1.6	2.03	6	2.5	1.54	1.98	5	79	0.064	After	142	17	100	100	1	4
100	50	50	1	219030	4380.6	1046.55	3.48	7	4380.6	2352.13	3.48	7	174	87.612	Before	0	18	100	100	1	4
84	43	41	0.95	100	2.33	1.43	1.67	4	2.44	1.52	1.76	4	72	0.057	After	102	18	100	100	1	4
100	50	50	1	226478	4529.56	1044.26	3.22	7	4529.56	2659.83	3.22	7	161	90.591	Before	0	19	100	100	1	4
84	43	41	0.95	100	2.33	0.99	1.74	3	2.44	1.5	1.83	5	75	0.057	After	86	19	100	100	1	4
100	50	50	1	240279	4805.58	1239.91	3.34	9	4805.58	2726.99	3.34	6	167	96.112	Before	0	20	100	100	1	4
87	44	43	0.98	100	2.27	1.28	1.73	4	2.33	1.44	1.77	4	76	0.053	After	91	20	100	100	1	4
100	50	50	1	227203	4544.06	1138.17	2.54	6	4544.06	2333.78	2.54	5	127	90.881	Before	0	21	100	100	1	4
82	40	42	1.05	100	2.5	1.52	1.65	3	2.38	1.4	1.57	4	66	0.06	After	61	21	100	100	1	4
100	50	50	1	215283	4305.66	1048.18	1.7	4	4305.66	2831.54	1.7	3	85	86.113	Before	0	22	100	100	1	4
83	44	39	0.89	100	2.27	1.39	1.27	3	2.56	2.02	1.44	3	56	0.058	After	29	22	100	100	1	4
100	50	50	1	221809	4436.18	1212.75	1.94	4	4436.18	2666.09	1.94	6	97	88.724	Before	0	23	100	100	1	4
83	43	40	0.93	100	2.33	1.55	1.4	4	2.5	1.5	1.5	5	60	0.058	After	37	23	100	100	1	4
100	50	50	1	218451	4369.02	1121.57	1.78	6	4369.02	3071.22	1.78	4	89	87.38	Before	0	24	100	100	1	4
83	42	41	0.98	100	2.38	1.29	1.38	4	2.44	1.69	1.41	3	58	0.058	After	31	24	100	100	1	4
100	50	50	1	235634	4712.68	1134.7	1.78	5	4712.68	2838.03	1.78	5	89	94.254	Before	0	25	100	100	1	4
80	41	39	0.95	100	2.44	1.29	1.34	3	2.56	1.68	1.41	3	55	0.063	After	34	25	100	100	1	4
100	50	50	1	230861	4617.22	1091.2	3.26	8	4617.22	2947.84	3.26	7	163	92.344	Before	0	26	100	100	1	4
81	43	38	0.88	100	2.33	1.38	1.6	4	2.63	1.7	1.82	4	69	0.061	After	94	26	100	100	1	4
100	50	50	1	224808	4496.16	1233.29	4.36	10	4496.16	2744.95	4.36	11	218	89.923	Before	0	27	100	100	1	4
82	45	37	0.82	100	2.22	1.22	1.69	4	2.7	1.53	2.05	4	76	0.06	After	142	27	100	100	1	4
100	50	50	1	233616	4672.32	1096.62	1.84	4	4672.32	2828.28	1.84	5	92	93.446	Before	0	28	100	100	1	4
82	43	39	0.91	100	2.33	1.46	1.33	2	2.56	1.68	1.46	3	57	0.06	After	35	28	100	100	1	4
100	50	50	1	216299	4325.98	1191.51	2.46	6	4325.98	2897.17	2.46	5	123	86.52	Before	0	29	100	100	1	4
80	44	36	0.82	100	2.27	1.28	1.52	4	2.78	1.91	1.86	4	67	0.063	After	56	29	100	100	1	4
100	50	50	1	228192	4563.84	1256.15	1.62	3	4563.84	3145.45	1.62	4	81	91.277	Before	0	30	100	100	1	4
81	43	38	0.88	100	2.33	1.19	1.23	2	2.63	2.01	1.39	3	53	0.061	After	28	30	100	100	1	4
100	50	50	1	223015	4460.3	1183.01	2.46	6	4460.3	3156.42	2.46	6	123	89.206	Before	0	31	100	100	1	4
80	42	38	0.9	100	2.38	1.29	1.57	4	2.63	1.57	1.74	3	66	0.063	After	57	31	100	100	1	4
100	50	50	1	222590	4451.8	1177.32	2.56	6	4451.8	2873.84	2.56	6	128	89.036	Before	0	32	100	100	1	4
77	42	35	0.83	100	2.38	1.53	1.45	4	2.86	2.14	1.74	4	61	0.068	After	67	32	100	100	1	4
100	50	50	1	216429	4328.58	1114.79	2.66	5	4328.58	2227.98	2.66	5	133	86.572	Before	0	33	100	100	1	4
79	40	39	0.98	100	2.5	1.69	1.48	4	2.56	1.64	1.51	4	59	0.064	After	74	33	100	100	1	4
100	50	50	1	222106	4442.12	1392.36	1.94	4	4442.12	2357.43	1.94	4	97	88.842	Before	0	34	100	100	1	4
77	41	36	0.88	100	2.44	1.29	1.27	2	2.78	1.82	1.44	4	52	0.068	After	45	34	100	100	1	4
