observed	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	noff_gt	type	year	noff.sample	rep
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	81
18	75.6	50.4571104999087	32.4	5.05568986390582	43.7777777777778	23.7936034064	1.88591347440711	10	All parents	2015	10	82
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	83
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	84
17	46.4	23.758787847868	29.6	4.70531614240744	38.6666666666667	22.2036207086	1.83795717448183	10	All parents	2015	10	85
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	86
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	87
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	88
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	89
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	90
18	75.6	50.4571104999087	32.4	5.23067873224881	43.7777777777778	23.7936034064	1.97003168333667	10	All parents	2015	10	91
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	92
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	93
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	94
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	95
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	96
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	97
17	46.4	23.758787847868	29.6	4.70531614240744	38.6666666666667	22.2036207086	1.83795717448183	10	All parents	2015	10	98
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	99
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	100
35	120.5	50.2220071283496	63.5	6.78785680461808	86.2368421052632	46.3624609452091	2.50631266213106	20	All parents	2015	20	1
36	157.6	75.2765567756656	66.4	7.31983606373804	91.7894736842105	47.9578561354356	2.61539131854308	20	All parents	2015	20	2
34	96.0666666666667	35.4180221962816	60.6	6.36160357142757	80.6842105263158	44.7670657549826	2.42828124366721	20	All parents	2015	20	3
36	157.6	75.2765567756656	66.4	7.31983606373804	91.7894736842105	47.9578561354356	2.61539131854308	20	All parents	2015	20	4
36	157.6	75.2765567756656	66.4	7.18888030224457	91.7894736842105	47.9578561354356	2.57745243902227	20	All parents	2015	20	5
35	187.158333333333	104.196543826417	64.45	7.25792670120056	89.7921052631579	46.516553089521	2.62905851839856	20	All parents	2015	20	6
32	81.4791666666667	29.141389096079	55.75	6.14512001510141	73.1342105263158	41.7303675188415	2.38656172209863	20	All parents	2015	20	7
36	157.6	75.2765567756656	66.4	7.18888030224457	91.7894736842105	47.9578561354356	2.57745243902227	20	All parents	2015	20	8
35	120.5	50.2220071283496	63.5	6.92639877569867	86.2368421052632	46.3624609452091	2.54531212900248	20	All parents	2015	20	9
37	220.033333333333	123.658473822655	69.3	7.69317879683035	97.3421052631579	49.5532513256621	2.67927867479751	20	All parents	2015	20	10
35	120.5	50.2220071283496	63.5	6.78785680461808	86.2368421052632	46.3624609452091	2.50631266213106	20	All parents	2015	20	11
35	120.5	50.2220071283496	63.5	7.06222344591277	86.2368421052632	46.3624609452091	2.60514838784108	20	All parents	2015	20	12
35	187.158333333333	104.196543826417	64.45	6.99124452440336	89.7921052631579	46.516553089521	2.51660977145425	20	All parents	2015	20	13
40	781	237.331962321362	78	8.60813568666294	114	54.3394368963417	2.80284467393107	20	All parents	2015	20	14
39	724.9	721.572373362506	75.1	8.27617061206449	108.447368421053	52.7440417061152	2.75460743825995	20	All parents	2015	20	15
37	220.033333333333	123.658473822655	69.3	7.56868548692572	97.3421052631579	49.5532513256621	2.64225728185884	20	All parents	2015	20	16
37	220.033333333333	123.658473822655	69.3	7.81568934899539	97.3421052631579	49.5532513256621	2.7361868550683	20	All parents	2015	20	17
36	157.6	75.2765567756656	66.4	7.18888030224457	91.7894736842105	47.9578561354356	2.57745243902227	20	All parents	2015	20	18
34	247.75	170.734168372942	62.5	6.92639877569867	87.7947368421053	45.0752500436064	2.50367236579142	20	All parents	2015	20	19
34	133.86875	63.0000205388111	61.55	6.72104902526384	84.2394736842105	44.9211578992945	2.49351155635379	20	All parents	2015	20	20
34	133.86875	63.0000205388111	61.55	6.86094016881069	84.2394736842105	44.9211578992945	2.54014865337073	20	All parents	2015	20	21
37	220.033333333333	123.658473822655	69.3	7.56868548692572	97.3421052631579	49.5532513256621	2.64225728185884	20	All parents	2015	20	22
35	187.158333333333	104.196543826417	64.45	6.99124452440336	89.7921052631579	46.516553089521	2.51660977145425	20	All parents	2015	20	23
